epoch,accuracy,loss,val_accuracy,val_loss
0,0.24576589465141296,2.006788969039917,0.28920409083366394,1.823458194732666
1,0.3059841990470886,1.8091014623641968,0.29629629850387573,1.814436912536621
2,0.3372224271297455,1.73527193069458,0.3372734487056732,1.7412519454956055
3,0.3560406565666199,1.6887917518615723,0.344365656375885,1.7605739831924438
4,0.3607451915740967,1.6511799097061157,0.31836092472076416,1.7502237558364868
5,0.3769288659095764,1.6305943727493286,0.3766745328903198,1.6358813047409058
6,0.39179524779319763,1.6045506000518799,0.40425533056259155,1.557926893234253
7,0.401204377412796,1.5723026990890503,0.40740740299224854,1.582816481590271
8,0.4177643954753876,1.5658780336380005,0.386918842792511,1.6540354490280151
9,0.4239743947982788,1.5248749256134033,0.3356974124908447,1.775183081626892
10,0.43582987785339355,1.5158329010009766,0.4286839962005615,1.5079212188720703
11,0.4292435050010681,1.5103756189346313,0.39007091522216797,1.6292662620544434
12,0.44091081619262695,1.4872690439224243,0.4026792645454407,1.630232334136963
13,0.4484380781650543,1.4782421588897705,0.43026003241539,1.5393635034561157
14,0.45389536023139954,1.4575196504592896,0.4152876138687134,1.6562309265136719
15,0.46311628818511963,1.445024013519287,0.448384553194046,1.5078518390655518
16,0.45464810729026794,1.43747079372406,0.4373522400856018,1.5750303268432617
17,0.45935264229774475,1.424359917640686,0.39558708667755127,1.7034705877304077
18,0.47346630692481995,1.4120069742202759,0.4444444477558136,1.5205376148223877
19,0.47459539771080017,1.4060213565826416,0.4428684115409851,1.547095775604248
20,0.4727135896682739,1.4128570556640625,0.45784083008766174,1.5148130655288696
21,0.48287543654441833,1.371732473373413,0.4428684115409851,1.5235488414764404
