epoch,accuracy,loss,val_accuracy,val_loss
0,0.22675950825214386,2.0724895000457764,0.29866036772727966,1.8662322759628296
1,0.29224690794944763,1.8345781564712524,0.304964542388916,1.9181170463562012
2,0.3144523799419403,1.7689235210418701,0.3238770663738251,1.759164810180664
3,0.3289424180984497,1.7327247858047485,0.37037035822868347,1.6599565744400024
4,0.35980430245399475,1.6769379377365112,0.3498817980289459,1.704641580581665
5,0.36337974667549133,1.6533610820770264,0.3853427767753601,1.6319323778152466
6,0.37881067395210266,1.6124451160430908,0.36091411113739014,1.6831293106079102
7,0.3846443295478821,1.6004854440689087,0.2490149736404419,2.3612353801727295
8,0.3938652575016022,1.5809361934661865,0.38455477356910706,1.6236714124679565
9,0.3991343677043915,1.5569820404052734,0.4144996106624603,1.5549728870391846
10,0.41569438576698303,1.5461845397949219,0.39479905366897583,1.6158859729766846
11,0.4245389401912689,1.5121299028396606,0.38297873735427856,1.625411868095398
12,0.4296198785305023,1.5013816356658936,0.41843971610069275,1.527586817741394
13,0.43545350432395935,1.4894851446151733,0.4342001676559448,1.5099376440048218
14,0.4520135521888733,1.4693717956542969,0.4231678545475006,1.617609977722168
15,0.45859992504119873,1.4531381130218506,0.42789599299430847,1.6223734617233276
16,0.4480617344379425,1.44456148147583,0.44365641474723816,1.525730013847351
17,0.4657508432865143,1.4209996461868286,0.46887314319610596,1.474690318107605
18,0.46838539838790894,1.4183732271194458,0.3333333432674408,2.0273964405059814
19,0.4749717712402344,1.4179518222808838,0.4799054265022278,1.4347896575927734
20,0.4864508807659149,1.3951359987258911,0.4152876138687134,1.656063437461853
21,0.47929996252059937,1.3860727548599243,0.42710795998573303,1.562798023223877
22,0.4761008620262146,1.3863519430160522,0.4357762038707733,1.5752527713775635
23,0.4872036278247833,1.3793262243270874,0.4783293902873993,1.4867568016052246
24,0.49736544489860535,1.3700748682022095,0.3995271921157837,1.708959937095642
25,0.4994354546070099,1.3587794303894043,0.4680851101875305,1.5179203748703003
26,0.4900263547897339,1.3571760654449463,0.4767533540725708,1.4701619148254395
27,0.48889726400375366,1.350378394126892,0.4531126916408539,1.5106273889541626
28,0.4994354546070099,1.3604063987731934,0.45390069484710693,1.5023043155670166
29,0.5003763437271118,1.3422189950942993,0.48620960116386414,1.465942621231079
30,0.499247282743454,1.3243632316589355,0.45941686630249023,1.6166249513626099
31,0.5013172626495361,1.3454680442810059,0.4405043423175812,1.6027783155441284
